swizzle,swizzle_n_maj,denoise_dtype,skip_denoising,pipeline_stages,median_ms,mean_ms,min_ms,max_ms,tops
8,False,int32,True,1,23.856016159057617,22.466372871398924,9.294719696044922,29.840896606445312,17.28355890048524
8,False,int32,True,2,24.45359992980957,24.888680076599123,20.92095947265625,28.228191375732422,16.861192691443975
16,True,fp16,False,,24.68627166748047,23.995716762542724,9.327199935913086,33.23539352416992,16.702273472877238
16,True,fp16,False,1,23.39358425140381,22.470948886871337,16.372095108032227,26.282367706298828,17.625211082874465
16,True,fp16,False,2,24.023072242736816,23.965505504608153,15.885631561279297,30.707456588745117,17.163369291396968
16,True,fp16,True,,21.393375396728516,23.95211033821106,9.296992301940918,44.57302474975586,19.273109211136997
16,True,fp16,True,1,22.457536697387695,27.855665588378905,9.293855667114258,47.28105545043945,18.359843555948036
16,True,fp16,True,2,22.10859203338623,21.839689540863038,18.087583541870117,26.537471771240234,18.649620916309797
16,True,int32,False,,23.244175910949707,21.5770224571228,9.340160369873047,26.823680877685547,17.738501979834382
16,True,int32,False,1,24.909648895263672,23.729940938949586,13.387616157531738,35.15798568725586,16.552495868153247
16,True,int32,False,2,23.602208137512207,22.62287058830261,13.56668758392334,27.557920455932617,17.469418878680404
16,True,int32,True,,23.76252841949463,23.404355239868163,18.161855697631836,26.86992073059082,17.351556750911147
16,True,int32,True,1,22.277456283569336,21.910760021209718,14.828800201416016,26.256832122802734,18.508255842481574
16,True,int32,True,2,23.522735595703125,22.485513496398926,17.10860824584961,26.562528610229492,17.52844003787202
16,False,fp16,False,,23.681983947753906,23.241307163238524,9.333215713500977,41.62876892089844,17.410570893284714
16,False,fp16,False,1,24.565792083740234,24.42479524612427,18.213855743408203,30.314783096313477,16.784187499857047
16,False,fp16,False,2,24.14523220062256,22.824377632141115,13.524064064025879,28.273120880126953,17.07653324640087
16,False,fp16,True,,24.436063766479492,23.715902519226074,21.226335525512695,28.005216598510742,16.87329286567018
16,False,fp16,True,1,22.19647979736328,22.419548797607423,18.64361572265625,26.342815399169922,18.575777068261928
16,False,fp16,True,2,23.69431972503662,23.124607849121094,18.467615127563477,27.703039169311523,17.401506572072
16,False,int32,False,,27.33732795715332,28.101329612731934,19.49193572998047,45.40339279174805,15.082558948783786
16,False,int32,False,1,35.19223976135254,30.89931526184082,9.380191802978516,56.116512298583984,11.71613012448269
16,False,int32,False,2,15.085327625274658,16.976959943771362,10.014399528503418,40.69055938720703,27.332310617184422
16,False,int32,True,,12.251327991485596,13.189988851547241,9.918335914611816,17.289344787597656,33.65487077829858
16,False,int32,True,1,11.553152084350586,12.354798507690429,9.921792030334473,15.61292839050293,35.688689753725924
16,False,int32,True,2,13.030064105987549,13.656950521469117,11.256928443908691,16.958656311035156,31.643502062782098
32,True,fp16,False,,14.29694414138794,15.79985761642456,9.724160194396973,43.059295654296875,28.839509781841567
32,True,fp16,False,1,14.741392135620117,14.259195137023926,9.389311790466309,21.149951934814453,27.97000830197747
32,True,fp16,False,2,13.415055751800537,13.18782868385315,9.798784255981445,16.843679428100586,30.735381801201967
32,True,fp16,True,,13.39361572265625,13.579673624038696,9.711808204650879,17.21718406677246,30.7845819197677
32,True,fp16,True,1,12.271440029144287,12.642707300186157,9.73574447631836,16.73232078552246,33.59971278323981
32,True,fp16,True,2,10.759247779846191,11.456539106369018,9.416576385498047,14.58521556854248,38.322089875868095
32,True,int32,False,,11.235919952392578,10.965262317657471,9.478303909301758,13.723072052001953,36.69631522501201
32,True,int32,False,1,11.288095951080322,11.283502435684204,9.439295768737793,14.379167556762695,36.52669699149212
32,True,int32,False,2,12.179056167602539,12.347443151474,9.745087623596191,15.31494426727295,33.8545823865073
32,True,int32,True,,11.161231994628906,11.9786048412323,9.76576042175293,14.798175811767578,36.94187708081136
32,True,int32,True,1,12.252655982971191,12.140169763565064,9.77660846710205,14.975872039794922,33.65122312982918
32,True,int32,True,2,11.089904308319092,11.947707176208496,9.584959983825684,15.543968200683594,37.1794786458798
32,False,fp16,False,,10.963840007781982,11.628753566741944,9.704575538635254,14.717791557312012,37.60697530457788
32,False,fp16,False,1,11.454751968383789,11.464713525772094,9.748512268066406,14.34563159942627,35.995267427355394
32,False,fp16,False,2,10.752960205078125,11.846937608718871,9.715200424194336,14.464960098266602,38.34449793846366
32,False,fp16,True,,10.482816219329834,10.857465648651123,9.453120231628418,14.67244815826416,39.332642277530965
32,False,fp16,True,1,10.863999843597412,11.650431966781616,9.739935874938965,15.161503791809082,37.95258342708784
